,name,worktime,parking,address,phone
126,동탄능동DT점,"월-목 07:00-22:00ㅣ금 07:00-23:00ㅣ주말, 공휴일 07:00-23:00",매장이용시 주차 가능,"경기도 화성시 능동 453-4,453-8,454-1 소재 건물(1~3층)",031-267-4182
127,수원인계DT점,매일 07:00~23:00,"[주차안내] 무료주차 : 30분/ 30분 초과시 10분당 1,000원 비용발생 / 매장 이용시 최대 2시간 무료주차 가능",경기도 수원시 팔달구 인계로79 (인계동),031-898-8818
128,분당차병원본관앞점,매일 07:00 ~ 22:00,매장 이용 시 1시간 무료 주차,경기도 성남시 분당구 야탑로64 DS타워 1층,031-8017-8243
129,신용산역래미안점,월-금 07:00-22:30 | 토요일 08:00-22:30 | 일요일/공휴일 08:00-22:30,,서울시 용산구 한강대로95,02-2074-1049
130,선릉역3번출구세방빌딩점,월-금 07:00~22:00 | 토요일 08:00-22:00 I 일/공휴일 08:00~21:00,,서울특별시 강남구 선릉로 433 세방빌딩 1층,02-2051-9328
131,광명아브뉴프랑점,월-일 : 7:30~22:00,"주차 정보- 최초 30분 무료, 10분당 500원 추가- 1만원 이상 구매 시, 1시간 무료- 3만원 이상 구매 시, 2시간 무료- 5만원 이상 구매 시, 3시간 무료*아브뉴프랑 구매영수증 합산가능 (1일 최대 3시간 할인 적용)",경기도 광명시 양지로16 아브뉴프랑 지하 2층 (주)커피빈코리아 광명아브뉴프랑점,02-899-7460
132,새문안로점,평일 07:00~22:00 | 주말 08:00~22:00,,"서울특별시 종로구 새문안로 91 고려빌딩 1,2층",02-739-5806
133,문정동환인제약빌딩점,"평일 07:00~22:00 | 주말,공휴일 08:00~22:00",주차안내 : 영수증 지참 시 1시간 무료이후 10분당 500원,서울특별시 송파구 법원로6길 11 환인빌딩 1층,02-449-9569
134,파주DT점,월~금 07:30~20:00 | 토~일 08:00 ~ 20:00,,경기도 파주시 문발로 131,031-8070-0028
135,창원시티세븐점,월-일 07:30-21:00,시티세븐 주차장 무료주차 가능,"경상남도 창원시 성산구 원이대로 320, 더시티세븐S-105호(대원동)",055-600-5361
136,종로구청앞점,월-금 07:00~22:00 | 주말 08:00~22:00,,서울특별시 종로구 종로3길 34,02-739-6151
137,안양시청앞점,월-금 07:00~23:00 | 토08:00~23:00 ㅣ일/공휴일 08:00~22:00,최소 30분 무료 (기본 건물 무료주차)커피빈 매장내에서  1만원 미만 구매시 30분1만원 이상 구매시 1시간2만원 이상 구매시 2시간(타매장과 합산가능),"경기도 안양시 동안구 시민대로 260, 1층 104,105호",031-5177-4770
138,하남신세계백화점B1점,월~목 10:30 ~ 20:00 | 금~일 10:30 ~ 21:00,주차정보신세계백화점 주차장 이용 가능,"경기도 하남시 미사대로 750, 신세계백화점 지하1층 식품관",031-8072-1641
139,종로센트로폴리스점,평일 07:00~23:00 | 주말 08:00~22:00,기본 주차 무료이용 가능시간 : 20분음료구매 후 이용가능시간 : 1시간,"서울시 종로구 우정국로 26 센트로폴리스 1층 Retail 1-5,6",02-6370-5845
140,잠실향군타워점,월~금 06:30 ~ 22:00 | 토 07:00 ~ 21:00 | 일 08:00 ~ 21:00 I [10일] 09:00~21:00,"주차정보영수증 지참시 30분 무료 / 이후 10분 1,000원주말, 공휴일 주차 3시간 무료",서울특별시 송파구 올림픽로35길 123 1층,02-412-8812
141,부산서면점,월~목 07:30~22:30ㅣ금~토 07:30~23:00 ㅣ일 07:30~22:00,주차불가,부산 부산진구 서면로 62-1 에이스메디컬타워 1F,051-802-4282
142,영종도운서역점,매일 07:00 ~ 23:00,"1만원 이상 구매시, 1시간 무료 주차","인천시 중구 신도시남로 142번길 6 (메가스타 영종 139,140,141호)",032-746-9822
143,해운대센텀호텔점,일~목 07:00~21:30 ㅣ 금~토 07:00~22:00,1만원 이상 구매 시 센텀호텔 주차장에 한하여 2시간 무료주차 가능,부산 해운대구 센텀3로 20 해운대센텀호텔 1F 101호,051-743-5088
144,교대법원점,월-금 07:30~21:00 | 토/일/공휴일 08:00~21:00,주차정보최초 30분 3천원이후 10분당 1천원,"서울 서초구 서초중앙로 156, 1층",02- 3664-7716
145,부천북부역사거리점,일~금 07:30~21:30 | 토 08:00~21:30,주차정보만원이상 구매시 1시간 무료주차 가능,경기도 부천시 부천로25,032-655-8954
146,부산남포역점,월~목 07:30~23:00ㅣ금 07:30~00:00ㅣ토 07:30~00:00ㅣ일 07:30~23:00,주차 불가,부산 중구 해관로 1 희남빌딩 1층,051-246-6284
147,김포장기DT점,월~일 07:00~23:00,주차 가능하며 Drive Thru 주문은 22:30까지 가능합니다.,경기도 김포시 태장로 819,031-987-0409
148,서초동점,평일 07:30~20:00 | 토/일/공휴일 08:00~20:00,,서울특별시 서초구 반포대로70,02-3665-9507
149,남양주화도DT점,평일 07:00~22:00 | 주말 08:00~22:00,주차가능,경기도 남양주시 경춘로 1641,031-591-2406
150,선정릉역점,"월-금 07:00~22:00 | 주말,공휴일 08:00~22:00","주차정보빌딩 방문객 주차는 30분 무료, (도장으로 확인)이후로는 10분당 1,000원 주차요금 발생.",서울시 강남구 봉은사로 331 SH빌딩점 B1-1층,02-2058-3028
151,부천스타필드시티점,"월~금 10:00~22:00 | 주말, 공휴일 10:00~22:00",,경기도 부천시 옥길동 768 부천스타필드시티점 4층,02-6386-1423
152,대구228공원앞점,월~일 08:00~22:00,,대구광역시 중구 동성로3길 106,053-421-7436
153,삼성루첸타워점,"월-금 07:00~21:00 | 토, 공휴일 09:00~18:00 | 일 휴무","주차정보건물 주차 시 10분 1,100원",서울 강남구 대치동 943-2 루첸타워 1층 로비,02-994-8879
154,수원AK플라자점,매일 10:30~22:00   AK휴점시  10:30~20:00,주차정보1만원 이상 구매 시 2시간 무료,경기도 수원시 팔달구 덕영대로 924 AK플라자 4층,031-240-2246 ｜ 031-278-7641
155,하나은행을지로본점,월-금 07:00-19:00 | 주말/공휴일 휴무,,서울시 중구 을지로 35 하나은행 을지로본점 24F 내 스마트워크센터,02-338-9179
156,선릉KSA한국표준협회점,월-금 07:00~22:00 | 토요일 07:00~21:00 | 일요일 08:00~21:00,"건물 기계식 지하 주차 이용 (30분 무료 주차 후 30분당 3,000원)",서울시 강남구 테헤란로69길 5 DT센터점 1층,02-3141-7948
157,논현역8번출구점,월-금 07:00~22:00 | 토/일 08:00~22:00,주차불가,서울시 서초구 강남대로 563 페이토플라자 1층 ( 잠원동 37-1 ),02-755-3301
158,이태원몬드리안호텔점,월-금 07:30-22:30 | 주말 및 공휴일 07:30-22:30,*매장 이용시 2만원 이상 구매시 1시간 무료 / 4만원 이상 구매시 2시간 무료 주차 가능*유료 주차시 30분에 4천원 / 이후 10분당 2천원씩 추가,서울시 용산구 장문로 23 몬드리안 서울 이태원호텔 101호,02-3775-0548
159,KB국민은행노원역점,"평일 07:00~19:30 | 토, 일, 공휴일 08:00~19:00",,"서울시 노원구 동일로 1405, 1층 일부",02-930-9486
160,수서역원방빌딩점,"평일 06:30 ~ 22:00 | 주말,공휴일 07:00 ~ 22:00",,서울 강남구 광평로 51길 6-23 원방테크사옥 1층,02-3473-3830
161,청계천을지로점,월-금 06:40-22:30 | 토요일 08:00-22:00 | 일요일/공휴일 08:00-21:00,,서울 중구 남대문로10길 33 1F,02-723-1771
162,서초중앙로점,평일 07:00~22:00 | 토-일 07:30~22:00,주차 불가,"서울시 서초구 서초중앙로 209, 해성빌딩 1층",02-537-2992
163,용인역북점,평일 07:00 ~ 22:00 | 주말/공휴일 08:00~22:00,제품 구매시 2시간 무료주차반려동물 출입 가능,경기도 용인시 처인구 역북동 598-7,031-323-6886
164,부산중앙역점,평일 07:30~20:30  |  주말 08:30~16:00,"5천원이상 결제 시  팬오션빌딩주차장 1시간 무료주차 (일요일/공휴일, 트럭/SUV 주차불가)",부산광역시 중구 중앙대로 102 팬오션빌딩 1F,051-466-8856
165,제주아라점,매일 07:00~22:00,"평일 4시간, 주말공휴일 3시간 주차무료 * 모던하우스와 중복적용 가능",제주도 제주시 연북로 511,064-758-1194
166,혜화역점,매일 08:00 ~ 00:00,,서울시 종로구 대명길 5,02-745-9471
167,용인에버랜드점,"[ 영업시간 ] (라스트오더: 마감20분전)월~목, 일 10:30 ~ 19:00/금,토, 공휴일 10:30~20:00",영업시간은 에버랜드 운영시간에 따라 변동될 수 있습니다.,경기도 용인시 처인구 포곡읍 가실리 156-1 (파크내 홀랜드빌리지 옆 암스테르담),031-334-0556
168,명동거리점,월-금 07:00-24:00 | 토요일 07:00-24:00 | 일요일/공휴일 07:00-24:00,주차불가,서울시 중구 명동 10길 52 명동역 신한은행 사옥 1층,02-522-7158
169,안양LS타워점,평일 07:00 ~ 18:00 / 주말공휴일휴점,"주차: 2시간 무료 주차가능  (5,000원 이상 구매시)",경기도 안양시 동안구 엘에스로 127 1층,031-429-9650
170,상암SBS프리즘타워점,"월  07:00 ~ 19:00 l 화~금 07:00 ~ 19:00 | 토, 일, 공휴일 휴무",,서울 마포구 상암산로 82 SBS 프리즘 타워 1층 로비,02-562-9605
171,용산아이파크몰점,월-금 08:00-22:00 | 토요일 08:00-22:00 | 일요일/공휴일 08:00-22:00,,"서울시 용산구 한강대로 23길 55, 아이파크몰 테이스트파크 7층",02-2012-0731
172,진주LH본사점,월~금 08:00 ~ 18:00 | 토 10:00 ~ 17:00 | 일 휴무,LH 주차장 무료주차 가능,경남 진주시 충의로 19 LH진주사옥 공감동 1층,055-763-3520
173,하나금융명동사옥점,월-금 06:30-21:00 | 토요일 07:00-21:00 | 일요일/공휴일 07:00-21:00,,서울시 중구 을지로 66 하나은행 명동사옥 1층,02-539-5174
174,제주애월DT점,"월-금  07:30 ~ 21:30 | 주말, 공휴일 07:00 ~ 21:30",건물 옆 주차라인에 한하여 무료주차 <제주애월DT점은 반려동물 동반 입장이 가능>,제주도 제주시 애월읍 애월해안로 560,064-799-3670
175,성균관대법학관점,"월~금 08:00~20:00 | 토 09:00~17:00 | 일, 공휴일 휴점",,서울시 종로구 성균관로 25-2 성균관대학교 법학관 B2,02-740-1958
176,동탄타임테라스점,매일 10:30 ~ 22:00,제품구매시 주차 1시간 무료,경기도 화성시 동탄중앙로220 타임테라스A 블록 1층 110호-1호,031-613-7684
177,종로YBM별관점,"월~금 07:30~22:00 l 주말,공휴일 08:00~22:00",,서울시 종로구 종로 98 1층,02-402-3571
178,압구정로데오2호점,월-금 08:00~23:00 | 토 08:00~24:00 | 일/공휴일 08:00~22:00,매장 1층 발렛부스 문의 (주차비 지원 없음)월~일요일 운영 중 (설날과 추석 당일 제외),서울특별시 강남구 선릉로 157길 22 2층,02-3444-9973
179,고대안암병원신관점,"월~금 07:00~22:00 l 주말,공휴일 08:00~20:00",,서울특별시 성북구 고려대로 73,02-544-6823
180,삼성본관빌딩점,월-금 07:00-19:00 | 토/일/공휴일 휴점,,서울특별시 중구 세종대로 67 삼성 본관빌딩 1층 후문 로비 일부,02-720-5561
181,역삼KSA한국표준협회교육센터점,"월~금 07:00~20:30 l 토, 일,공휴일 휴점",주차불가,서울시 강남구 역삼동 738번지 1층,02-488-5912
182,브라이튼여의도점,월~금 06:30~22:00 l 토~일 8:00~22:00,,"서울특별시 영등포구 국제금융로 39, 앵커원 1층",02-952-9577
183,춘천온의점,월~금 08:00~22:00 l 토~일 08:00~22:00,,"강원특별자치도 춘천시 춘천로17번길 17, New town 1층 101호",033-252-3348
184,원주혁신도시점,평일 07:30~20:30 l 주말 09:00~20:30,"5000원이상 구매시 차량 1대 ,1시간 무료 주차 제공  (중복 적용 불가 )",강원특별자치도 원주시 입춘로 110 (반곡동) 파라다이스프라자 101호 일부,033-746-7951
185,하나은행본관로비점,월-금 07:00~19:00 | 토/일/공휴일 휴점,,서울특별시 중구 을지로 35 하나은행본점 1F,02-592-8861
186,강남포스코센터점,l 월~금 07:00~20:00 l 토~일요일 09:00~17:00,,서울 강남구 삼성로85길 11 생활편의시설동 B05호,02-541-7404
187,인천공항 T2랜드3F동편점,매일 05:00~22:00,,인천 중구 제2터미널대로 446 인천공항 제2여객터미널 랜드사이드 3층 동편 (GATE11~12번),032-743-2894
188,캐리비안베이점,"월,목 12:00 ~ 16:00 | 금 10:00 ~ 17:00 ㅣ토, 공휴일 10:00 ~ 18:00 ㅣ 일 10:00 ~ 18:00",,경기 용인시 처인구 포곡읍 에버랜드로 199 캐리비안베이 비치사이드카페 1층,031-336-9082
189,경복궁역3번출구점,월-금 07:00~22:00 | 토 08:00~22:00 | 일/공휴일 08:00~21:00 |,,서울특별시 종로구 자하문로 10,02-557-0510
190,의정부민락점,월-일 08:00~22:00,,경기도 의정부시 민락동 805-3 해동2타워 제1층 104호~106호,031-853-3455
191,서현역점,월-금 07:00~22:00 토-일 08:00-22:00,주차불가,경기도 성남시 서현동 246-4 1층,031-706-7952
192,마포경찰공제회점,"월-금 07:00~22:00 ㅣ 주말, 공휴일 08:00 ~ 22:00",주차가능( 실 결제금액 1만원이상 구매 시 1시간 무료주차),"서울시 마포구 마포대로 78 (도화동 566), 경찰공제회 자람빌딩 1층",02-704-6591
193,신세계센텀시티점,"월~금 09:00 ~ 20:30 | 주말, 공휴일 09:00 ~ 20:30","백화점 휴무일에 따라 휴무일이 달라질 수 있습니다.(추석 영업시간 10/5, 10/6 휴무)",부산광역시 해운대구 센텀남대로 35 신세계센텀시티 7층,051-745-1821
194,제주동문시장점,"월-금 08:00~22:00 | 주말, 공휴일 08:00~22:00",,제주특별자치도 제주시 동문로 8-1,064-726-9520
195,대전시청역점,"월~금 08:00 ~ 21:00 | 토 08:00 ~ 22:00 ㅣ일, 공휴일 08:00~21:00",,"대전광역시 서구 둔산동 1451, 둔산타워 제1층 제101호",042-484-8926
196,마곡케이스퀘어점,"월~금 07:30 ~ 20:00 | 토 9:00 ~ 19:00ㅣ일, 공휴일 11:00 ~ 19:00","1만원 구매시 1시간무료주차가능/건물합산 불가 (추석 영업시간 10/3~4, 10/7~10 11:00 ~ 19:00, 10/5~6 휴점)","서울특별시 강서구 마곡중앙로 105-7 (케이스퀘어) 마곡 TOWER 1, 1층 D-101호",02-3662-9805
197,원그로브점,"월~금 07:00 ~ 22:00 | 주말, 공휴일 09:00 ~ 22:00",2만원 이상 구매 시 1시간 적용 (몰 주차 시간에 따름),"서울시 강서구 공항대로 165, 원그로브 쇼핑몰 2층 E215호",02-2653-8577
